Valladolid;VLL;LEVD;41.706112;-4.851666
La Coruña;LCG;LECO;43.301388;-8.379167
Santiago;SCQ;LEST;42.897499;-8.416111
Vigo;VGO;LEVX;42.234165;-8.630000
Porto;OPO;LPPR;41.248055;-8.681389
Lisboa;LIS;LPPT;38.777040;-9.135001
Faro;FAO;LPFR;37.014610;-7.972639
Jerez;XRY;LEJR;36.745304;-6.058889
Sevilla;SVQ;LEZL;37.417221;-5.893055
Malaga;AGP;LEMG;36.674168;-4.496944
Granada;GRX;LEGR;37.186390;-3.777500
Almeria;LEI;LEAM;36.844460;-2.377625
Murcia San Javier;MJV;LELC;37.773335;-0.812500
Alicante;ALC;LEAL;38.283722;-0.559583;
Ibiza;IBZ;LEIB;38.868610;1.373056
Valencia;VLC;LEVC;39.488609;-0.481944
Palma Mallorca;PMI;LESJ;39.552776;2.735833
Menorca;MAH;LEMH;39.859444;4.219444
Barajas;MAD;LEMD;40.472023; -3.562636
Zaragoza AB;ZAZ;LEZG;41.666111;-1.041667
Reus;REU;LERS;41.146946;1.166667
Barcelona;BCN;LEBL;41.299711;2.080855
Asturias;OVD;LEAS;43.562778;-6.033333
Santander;SDR;LEXJ;43.428890;-3.818889
Bilbao;BIO;LEBB;43.299999;-2.908333
Pamplona;PNA;LEPP;42.770557;-1.647222
Biarritz Parme;BIQ;LFBZ;43.465266;-1.526273
Pau Pyrenees;PUF;LFBP;43.382221;-0.421111
Blagnac;TLS;LFBO;43.628873;1.364269
Llabanere;PGF;LFMP;42.737778;2.873889
Frejorgues;MPL;LFMT;43.579750;3.964528
Bordeaux;BOD;LFBD;44.828335;-0.715556
Marcillac;RDZ;LFCR;44.407776;2.482222
Marseille;MRS;LFML;43.436079;5.215271
Hyeres;TLN;LFTH;43.096943;6.146945
Nice - Côte d'Azur;NCE;LFMN;43.659954;7.215081
Laleu;LRH;LFBH;46.178612;-1.197500
Bellegarde;LIG;LFBL;45.862778;1.179444
Aulnat;CFE;LFLC;45.786945;3.170000
Boutheon;EBU;LFMH;45.540554;4.296389
Satolas;LYS;LFLL;45.726387;5.090833
Genève;GVA;LSGG;46.235564;6.110278
Biard;PIS;LFBI;46.590832;0.304444
Nantes Atlantique;NTE;LFRS;47.156113;-1.611111
St Symphorien;TIF;OETF;47.431667;0.726389
St Jacques;RNS;LFRN;48.072777;-1.735000
Brest Lesquin;BES;LFRB;48.451668;-4.415833
Bale Mulhouse;MLH;LFSB;47.590279;7.530278
Entzheim;SXB;LFST;48.537193;7.627695
Metz-Nancy;ETZ;LFJL;48.981945;6.251389
Charles de Gaulle;CDG;LFPG;49.022871;2.547128
Orly;ORY;LFPO;48.724998;2.368483
Jersey;JER;EGJJ;49.210278;-2.196667
Guernsey;GCI;EGJB;49.436668;-2.603889
Maupertus;CER;LFCR;49.649166;-1.470556
Lille Lesquin;LIL;LFQQ;50.563332;3.087500
